protein_id	categories	category_count
O60356	dna_binding	1
Q06810	protein_binding	1
Q9Y4P1	protein_binding	1
P90976	protein_binding	1
Q9Y5B0	protein_binding	1
F6IAY2	protein_binding	1
P49427	protein_binding	1
O43070	protein_binding	1
Q8N300	protein_binding	1
P22059	protein_binding	1
P04613	rna_binding	1
Q9BYG3	protein_binding	1
P11940	rna_binding	1
P42527	protein_binding	1
P43629	protein_binding	1
P32851	protein_binding	1
Q57530	protein_binding	1
Q7T2G3	protein_binding	1
P49257	ion_binding	1
Q14766	protein_binding	1
P52948	protein_binding	1
P45481	protein_binding	1
O75506	protein_binding	1
Q13625	protein_binding	1
Q9JI51	protein_binding	1
Q08655	ion_binding	1
Q08050	protein_binding	1
Q15582	protein_binding	1
P46984	protein_binding	1
P0AFZ3	protein_binding	1
P03407	protein_binding	1
P53954	protein_binding	1
O88339	protein_binding	1
P33328	protein_binding	1
P0AFX7	protein_binding	1
Q7YUB9	protein_binding	1
P55197	protein_binding	1
Q9UMR2	protein_binding	1
Q13480	protein_binding	1
O70480	protein_binding	1
Q9QXT8	protein_binding,dna_binding,ion_binding	3
P05055	rna_binding	1
P19972	protein_binding	1
P54274	protein_binding	1
Q16665	protein_binding	1
P04611	rna_binding	1
P62328	protein_binding	1
